,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
428,CHI @ CLE,91,35,83,0.422,9,32.0,0.281,12,16,0.75,6.0,37.0,43.0,21,8.0,6,18,17,-18.0,L
429,CHI @ SAS,122,46,90,0.511,15,34.0,0.441,15,20,0.75,7.0,40.0,47.0,31,5.0,8,9,18,6.0,W
430,CHI vs. GSW,131,50,86,0.581,18,40.0,0.45,13,16,0.813,6.0,30.0,36.0,31,1.0,3,12,21,-9.0,L
431,CHI vs. HOU,124,42,95,0.442,19,47.0,0.404,21,25,0.84,8.0,38.0,46.0,31,9.0,4,14,19,5.0,W
432,CHI @ CHA,119,45,92,0.489,9,26.0,0.346,20,24,0.833,12.0,39.0,51.0,27,7.0,7,13,18,7.0,W
433,CHI vs. CHA,104,40,74,0.541,10,28.0,0.357,14,17,0.824,4.0,37.0,41.0,29,7.0,6,14,17,13.0,W
434,CHI @ NYK,100,37,89,0.416,13,32.0,0.406,13,16,0.813,11.0,28.0,39.0,24,9.0,7,11,17,-16.0,L
435,CHI @ PHI,97,37,96,0.385,7,37.0,0.189,16,23,0.696,19.0,32.0,51.0,17,9.0,7,18,21,-13.0,L
436,CHI vs. PHI,105,40,79,0.506,7,25.0,0.28,18,30,0.6,12.0,41.0,53.0,21,5.0,5,16,15,13.0,W
437,CHI vs. IND,104,40,97,0.412,7,27.0,0.259,17,22,0.773,13.0,34.0,47.0,19,7.0,4,7,20,-16.0,L
438,CHI vs. ATL,118,42,92,0.457,7,25.0,0.28,27,31,0.871,18.0,30.0,48.0,23,10.0,2,8,17,5.0,W
439,CHI vs. CLE,95,35,80,0.438,8,35.0,0.229,17,19,0.895,5.0,32.0,37.0,23,6.0,5,12,22,-14.0,L
440,CHI vs. SAS,114,49,90,0.544,7,28.0,0.25,9,11,0.818,5.0,31.0,36.0,24,11.0,5,11,18,19.0,W
441,CHI vs. LAL,124,48,88,0.545,18,34.0,0.529,10,11,0.909,7.0,41.0,48.0,25,7.0,6,15,15,16.0,W
442,CHI @ PHI,108,42,89,0.472,12,29.0,0.414,12,15,0.8,11.0,34.0,45.0,24,7.0,9,10,15,4.0,W
443,CHI @ MIA,116,37,77,0.481,16,38.0,0.421,26,29,0.897,11.0,29.0,40.0,25,8.0,4,14,19,-2.0,L
444,CHI @ MIA,124,45,93,0.484,14,36.0,0.389,20,30,0.667,11.0,32.0,43.0,32,8.0,2,5,23,8.0,W
445,CHI vs. DEN,106,36,86,0.419,13,40.0,0.325,21,23,0.913,11.0,30.0,41.0,26,6.0,9,12,22,-7.4,L
446,CHI @ MIL,129,47,114,0.412,15,34.0,0.441,20,25,0.8,18.0,33.0,51.0,25,3.0,4,6,27,-4.0,L
447,CHI @ SAS,121,47,102,0.461,13,28.0,0.464,14,24,0.583,24.0,32.0,56.0,27,9.0,2,7,19,9.0,W
448,CHI vs. CHA,111,38,90,0.422,12,25.0,0.48,23,29,0.793,21.0,36.0,57.0,23,6.0,6,16,16,11.0,W
449,CHI vs. NOP,124,48,88,0.545,17,40.0,0.425,11,15,0.733,12.0,29.0,41.0,32,6.0,8,13,21,6.0,W
450,CHI vs. MIL,120,45,98,0.459,13,37.0,0.351,17,22,0.773,14.0,37.0,51.0,32,14.0,4,21,18,7.0,W
451,CHI @ BOS,97,39,90,0.433,9,28.0,0.321,10,18,0.556,9.0,28.0,37.0,25,11.0,7,8,13,-27.0,L
452,CHI @ BKN,109,40,83,0.482,12,32.0,0.375,17,22,0.773,10.0,30.0,40.0,21,3.0,2,11,18,-9.0,L
453,CHI @ TOR,108,42,82,0.512,12,27.0,0.444,12,19,0.632,9.0,28.0,37.0,20,5.0,2,12,20,-13.0,L
454,CHI @ OKC,102,34,88,0.386,17,44.0,0.386,17,17,1.0,11.0,27.0,38.0,22,7.0,2,10,26,-14.0,L
