,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
542,DAL @ HOU,96,35,101,0.347,7,40.0,0.175,19,26,0.731,14.0,33.0,47.0,18,10.0,1,11,17,-26.0,L
543,DAL vs. LAC,111,39,91,0.429,14,43.0,0.326,19,27,0.704,13.0,23.0,36.0,23,8.0,3,6,19,-9.0,L
544,DAL @ DEN,104,41,92,0.446,13,38.0,0.342,9,19,0.474,15.0,28.0,43.0,19,2.0,0,11,20,-26.0,L
545,DAL @ POR,131,48,97,0.495,16,47.0,0.34,19,21,0.905,11.0,36.0,47.0,27,7.0,2,12,17,11.0,W
546,DAL vs. MIN,101,39,83,0.47,7,32.0,0.219,16,18,0.889,4.0,30.0,34.0,21,6.0,2,15,19,-18.0,L
547,DAL vs. LAL,127,44,89,0.494,21,43.0,0.488,18,21,0.857,12.0,24.0,36.0,28,7.0,5,10,17,2.0,W
548,DAL @ MEM,120,43,86,0.5,17,40.0,0.425,17,19,0.895,10.0,33.0,43.0,27,8.0,9,17,17,7.0,W
549,DAL @ POR,125,47,91,0.516,12,39.0,0.308,19,22,0.864,9.0,33.0,42.0,26,8.0,5,15,23,13.0,W
550,DAL vs. UTA,147,56,101,0.554,22,49.0,0.449,13,19,0.684,11.0,36.0,47.0,37,11.0,5,7,14,50.0,W
551,DAL vs. OKC,120,39,87,0.448,19,52.0,0.365,23,35,0.657,15.0,32.0,47.0,26,5.0,12,15,21,-6.0,L
552,DAL vs. MEM,94,34,92,0.37,12,39.0,0.308,14,21,0.667,13.0,29.0,42.0,27,9.0,5,11,13,-14.0,L
553,DAL vs. HOU,121,42,89,0.472,12,34.0,0.353,25,29,0.862,9.0,29.0,38.0,25,5.0,4,7,25,6.0,W
554,DAL @ LAC,88,34,91,0.374,9,38.0,0.237,11,14,0.786,10.0,27.0,37.0,17,6.0,5,9,24,-19.0,L
555,DAL @ LAL,104,38,96,0.396,16,50.0,0.32,12,16,0.75,11.0,37.0,48.0,21,5.0,4,4,18,3.0,W
556,DAL vs. SAC,113,41,88,0.466,12,34.0,0.353,19,26,0.731,11.0,29.0,40.0,23,8.0,2,10,15,-16.0,L
557,DAL @ MIL,125,51,103,0.495,16,47.0,0.34,7,10,0.7,11.0,38.0,49.0,27,1.0,2,12,16,-7.0,L
558,DAL @ WAS,130,48,92,0.522,17,42.0,0.405,17,29,0.586,9.0,37.0,46.0,32,6.0,4,10,16,13.0,W
559,DAL @ NOP,110,38,90,0.422,14,42.0,0.333,20,26,0.769,16.0,29.0,45.0,25,4.0,3,20,16,-21.0,L
560,DAL @ NOP,136,50,102,0.49,20,53.0,0.377,16,21,0.762,8.0,34.0,42.0,29,7.0,6,6,19,12.0,W
561,DAL vs. LAC,144,51,98,0.52,19,42.0,0.452,23,26,0.885,15.0,26.0,41.0,30,7.0,1,8,23,18.0,W
562,DAL vs. TOR,116,40,84,0.476,17,41.0,0.415,19,31,0.613,6.0,32.0,38.0,25,4.0,6,15,21,-11.0,L
563,DAL @ ORL,117,41,82,0.5,15,40.0,0.375,20,28,0.714,5.0,26.0,31.0,21,9.0,6,14,20,15.0,W
564,DAL vs. CHA,124,43,91,0.473,14,42.0,0.333,24,32,0.75,9.0,38.0,47.0,31,3.0,6,10,19,6.0,W
565,DAL @ DEN,114,41,86,0.477,17,42.0,0.405,15,17,0.882,10.0,24.0,34.0,27,12.0,6,15,19,-11.0,L
566,DAL vs. CHI,114,37,81,0.457,20,48.0,0.417,20,28,0.714,13.0,32.0,45.0,23,7.0,2,13,11,9.0,W
567,DAL @ MEM,125,42,84,0.5,23,47.0,0.489,18,24,0.75,6.0,42.0,48.0,24,4.0,7,15,17,15.0,W
568,DAL vs. BKN,125,44,91,0.484,15,36.0,0.417,22,28,0.786,8.0,32.0,40.0,20,5.0,2,9,15,5.0,W
569,DAL @ SAS,126,47,99,0.475,15,47.0,0.319,17,23,0.739,13.0,35.0,48.0,24,6.0,3,12,20,7.0,W
570,DAL vs. DET,114,39,91,0.429,17,40.0,0.425,19,23,0.826,8.0,42.0,50.0,30,8.0,8,12,13,10.0,W
571,DAL @ RMD,123,46,98,0.469,16,46.0,0.348,15,23,0.652,11.0,30.0,41.0,24,9.0,6,10,24,-4.0,L
572,DAL vs. MIN,96,35,94,0.372,14,46.0,0.304,12,17,0.706,15.0,36.0,51.0,19,8.0,6,20,15,-8.0,L
573,DAL @ MIN,99,34,92,0.37,14,46.0,0.304,17,30,0.567,7.0,35.0,42.0,18,11.0,8,13,25,-12.0,L
574,DAL vs. ATL,101,37,74,0.5,10,28.0,0.357,17,21,0.81,8.0,34.0,42.0,17,10.0,3,15,23,23.0,W
575,DAL @ IND,112,42,83,0.506,10,29.0,0.345,18,24,0.75,15.0,29.0,44.0,20,8.0,2,11,11,12.8,W
576,DAL vs. GSW,98,29,79,0.367,9,40.0,0.225,31,45,0.689,14.0,31.0,45.0,15,9.0,8,9,27,2.0,W
577,DAL vs. PHI,111,37,78,0.474,7,26.0,0.269,30,38,0.789,17.0,31.0,48.0,19,7.0,2,13,23,-4.0,W
578,DAL @ OKC,80,27,65,0.415,9,31.0,0.29,17,24,0.708,12.0,26.0,38.0,14,12.0,1,18,17,-11.0,L
579,DAL vs. SAS,117,46,108,0.426,17,53.0,0.321,8,16,0.5,8.0,38.0,46.0,28,4.0,3,2,21,-21.0,L
580,DAL vs. CHI,112,42,93,0.452,18,55.0,0.327,10,13,0.769,7.0,36.0,43.0,23,7.0,3,9,15,-3.0,L
581,DAL vs. SAC,123,44,89,0.494,20,44.0,0.455,15,18,0.833,7.0,32.0,39.0,24,4.0,7,10,18,4.0,W
582,DAL @ ATL,130,49,95,0.516,10,38.0,0.263,22,32,0.688,10.0,37.0,47.0,24,4.0,3,14,15,-2.0,L
583,DAL @ MIA,122,47,77,0.61,14,34.0,0.412,14,16,0.875,1.0,30.0,31.0,32,3.0,2,14,23,-7.0,L
584,DAL @ PHI,108,38,83,0.458,18,46.0,0.391,14,18,0.778,8.0,32.0,40.0,24,3.0,3,14,22,-8.0,L
585,DAL @ IND,127,47,83,0.566,18,37.0,0.486,15,17,0.882,4.0,29.0,33.0,29,7.0,8,13,23,23.0,W
586,DAL @ CHA,104,32,84,0.381,19,49.0,0.388,21,22,0.955,3.0,34.0,37.0,18,8.0,7,8,24,-6.0,L
587,DAL vs. CHA,109,41,84,0.488,9,36.0,0.25,18,24,0.75,7.0,38.0,45.0,25,3.0,4,10,19,-8.0,L
588,DAL vs. GSW,125,44,89,0.494,17,40.0,0.425,20,28,0.714,8.0,23.0,31.0,27,7.0,2,10,17,-2.0,L
589,DAL @ MEM,108,39,84,0.464,11,36.0,0.306,19,20,0.95,8.0,29.0,37.0,22,5.0,4,12,19,-4.0,L
590,DAL @ LAL,111,40,79,0.506,16,34.0,0.471,15,19,0.789,7.0,28.0,35.0,27,8.0,4,13,26,1.0,W
591,DAL @ SAS,137,44,86,0.512,17,33.0,0.515,32,37,0.865,10.0,42.0,52.0,23,4.0,4,18,25,9.0,W
592,DAL vs. MEM,88,35,90,0.389,12,46.0,0.261,6,8,0.75,8.0,33.0,41.0,23,3.0,3,13,16,-16.0,L
593,DAL @ MEM,108,39,85,0.459,15,43.0,0.349,15,23,0.652,10.0,33.0,43.0,25,4.0,3,11,17,-4.0,L
594,DAL @ NOP,106,38,88,0.432,16,46.0,0.348,14,19,0.737,5.0,29.0,34.0,24,7.0,0,9,18,-7.0,L
595,DAL vs. UTA,120,42,89,0.472,19,45.0,0.422,17,22,0.773,3.0,40.0,43.0,24,10.0,6,16,20,4.0,W
596,DAL vs. PHX,126,38,77,0.494,15,38.0,0.395,35,38,0.921,5.0,26.0,31.0,15,5.0,0,10,22,-4.0,L
597,DAL vs. PHI,133,45,82,0.549,25,48.0,0.521,18,27,0.667,5.0,26.0,31.0,26,8.0,1,12,22,7.0,W
598,DAL vs. IND,122,46,91,0.505,12,37.0,0.324,18,28,0.643,9.0,29.0,38.0,28,5.0,3,7,29,-2.0,L
599,DAL vs. LAL,108,39,93,0.419,20,49.0,0.408,10,14,0.714,11.0,37.0,48.0,21,5.0,5,16,24,-3.0,L
600,DEN vs. NYK,113,45,84,0.536,6,20.0,0.3,17,20,0.85,9.0,33.0,42.0,31,5.0,4,9,14,13.0,W
601,DEN @ MIN,115,42,81,0.519,14,27.0,0.519,17,22,0.773,11.0,38.0,49.0,26,5.0,1,17,19,3.0,W
602,DEN @ DAL,105,37,84,0.44,12,28.0,0.429,19,22,0.864,6.0,31.0,37.0,26,7.0,6,7,16,-2.0,L
603,DEN @ SAS,117,49,89,0.551,10,25.0,0.4,9,12,0.75,7.0,33.0,40.0,37,13.0,5,12,20,11.0,W
604,DEN @ MIA,100,40,82,0.488,11,33.0,0.333,9,13,0.692,7.0,34.0,41.0,24,4.0,2,9,13,12.0,W
605,DEN vs. TOR,125,52,95,0.547,10,29.0,0.345,11,18,0.611,11.0,31.0,42.0,36,8.0,8,9,14,6.0,W
606,DEN vs. UTA,142,55,83,0.663,19,32.0,0.594,13,16,0.813,5.0,27.0,32.0,40,8.0,10,13,22,21.0,W
607,DEN vs. BOS,115,45,90,0.5,4,21.0,0.19,21,22,0.955,8.0,37.0,45.0,27,10.0,4,7,19,6.0,W
608,DEN vs. PHX,107,41,96,0.427,15,40.0,0.375,10,14,0.714,10.0,41.0,51.0,25,6.0,6,14,15,-10.0,L
609,DEN @ LAL,124,54,92,0.587,11,26.0,0.423,5,7,0.714,11.0,36.0,47.0,34,5.0,7,10,8,10.0,W
610,DEN vs. MIA,103,36,84,0.429,12,34.0,0.353,19,21,0.905,9.0,32.0,41.0,22,10.0,8,15,23,6.0,W
611,DEN vs. SAC,117,46,86,0.535,15,35.0,0.429,10,11,0.909,5.0,38.0,43.0,35,10.0,6,15,17,21.0,W
612,DEN @ GSW,119,43,88,0.489,11,32.0,0.344,22,26,0.846,12.0,33.0,45.0,29,10.0,5,10,20,16.0,W
613,DEN @ POR,127,50,85,0.588,13,33.0,0.394,14,22,0.636,11.0,34.0,45.0,38,8.0,6,12,17,15.0,W
614,DEN vs. WAS,130,56,101,0.554,7,31.0,0.226,11,15,0.733,13.0,47.0,60.0,41,11.0,11,16,16,20.0,W
615,DEN vs. SAC,98,35,89,0.393,9,26.0,0.346,19,22,0.864,12.0,33.0,45.0,27,6.0,5,12,18,-4.0,L
616,DEN @ MIL,95,36,94,0.383,11,40.0,0.275,12,17,0.706,12.0,36.0,48.0,24,7.0,2,13,14,-17.0,L
617,DEN @ SAC,106,38,82,0.463,10,29.0,0.345,20,28,0.714,9.0,26.0,35.0,26,9.0,5,20,16,-29.0,L
618,DEN @ LAL,114,47,97,0.485,14,32.0,0.438,6,7,0.857,14.0,36.0,50.0,33,4.0,6,12,17,8.0,W
619,DEN vs. POR,112,42,86,0.488,12,28.0,0.429,16,19,0.842,14.0,28.0,42.0,26,8.0,6,8,11,9.0,W
620,DEN vs. POR,120,46,91,0.505,12,36.0,0.333,16,17,0.941,16.0,32.0,48.0,34,3.0,6,11,20,12.0,W
621,DEN @ OKC,100,37,93,0.398,15,37.0,0.405,11,16,0.688,12.0,35.0,47.0,21,7.0,9,8,23,-5.0,L
622,DEN vs. MIL,113,44,91,0.484,4,18.0,0.222,21,24,0.875,9.0,38.0,47.0,29,7.0,4,8,22,6.0,W
623,DEN vs. PHI,111,37,82,0.451,13,37.0,0.351,24,38,0.632,13.0,31.0,44.0,25,5.0,3,7,15,6.0,W
624,DEN @ NYK,84,34,84,0.405,5,26.0,0.192,11,13,0.846,13.0,27.0,40.0,20,2.0,2,19,20,-38.0,L
625,DEN @ IND,114,44,88,0.5,11,33.0,0.333,15,17,0.882,11.0,31.0,42.0,22,5.0,9,10,17,5.0,W
626,DEN @ WAS,113,43,88,0.489,8,22.0,0.364,19,28,0.679,13.0,37.0,50.0,29,9.0,11,13,16,9.0,W
627,DEN @ BOS,102,42,81,0.519,8,31.0,0.258,10,13,0.769,10.0,37.0,47.0,20,0.0,3,9,13,2.0,W
628,DEN @ PHI,121,45,89,0.506,12,29.0,0.414,19,25,0.76,16.0,30.0,46.0,23,4.0,3,10,19,-5.0,L
629,DEN vs. IND,117,46,71,0.648,10,20.0,0.5,15,23,0.652,4.0,36.0,40.0,31,8.0,3,21,18,8.0,W
630,DEN vs. NOP,125,50,90,0.556,14,33.0,0.424,11,15,0.733,10.0,38.0,48.0,30,5.0,4,15,18,12.0,W
631,DEN @ UTA,111,37,81,0.457,13,33.0,0.394,24,28,0.857,8.0,26.0,34.0,26,11.0,4,16,23,-13.0,L
632,DEN vs. DET,131,47,80,0.588,10,27.0,0.37,27,31,0.871,6.0,32.0,38.0,35,6.0,10,12,23,17.0,W
633,DEN vs. ORL,120,48,95,0.505,9,33.0,0.273,15,19,0.789,9.0,29.0,38.0,28,8.0,1,13,23,-2.0,L
634,DEN @ GSW,130,48,85,0.565,9,26.0,0.346,25,29,0.862,11.0,25.0,36.0,28,7.0,4,7,15,3.0,W
635,DEN vs. CHA,111,41,83,0.494,15,38.0,0.395,14,18,0.778,4.0,40.0,44.0,27,9.0,9,10,15,18.0,W
636,DEN vs. OKC,93,36,85,0.424,10,37.0,0.27,11,15,0.733,5.0,31.0,36.0,30,6.0,5,16,17,-26.0,L
637,DEN vs. MEM,142,55,96,0.573,20,41.0,0.488,12,14,0.857,12.0,41.0,53.0,43,6.0,7,11,19,37.0,W
638,DEN vs. GSW,120,40,82,0.488,14,34.0,0.412,26,32,0.813,10.0,33.0,43.0,25,6.0,4,14,17,6.0,W
639,DEN @ CHA,102,39,90,0.433,12,30.0,0.4,12,14,0.857,12.0,36.0,48.0,25,11.0,13,14,21,7.0,W
640,DEN @ BKN,122,45,87,0.517,11,26.0,0.423,21,25,0.84,8.0,33.0,41.0,29,6.0,5,6,19,5.0,W
641,DEN @ TOR,113,49,98,0.5,12,33.0,0.364,3,7,0.429,15.0,31.0,46.0,29,9.0,9,8,13,9.0,W
642,DEN vs. DAL,130,49,87,0.563,14,26.0,0.538,18,22,0.818,9.0,37.0,46.0,29,7.0,4,8,19,26.0,W
643,DEN vs. OKC,117,42,93,0.452,12,32.0,0.375,21,24,0.875,16.0,30.0,46.0,30,5.0,0,9,22,-1.0,L
644,DEN vs. BKN,124,47,99,0.475,12,36.0,0.333,18,21,0.857,12.0,36.0,48.0,31,13.0,6,8,15,23.0,W
645,DEN @ CHI,114,39,83,0.47,14,30.0,0.467,22,32,0.688,15.0,31.0,46.0,28,4.0,4,10,20,8.0,W
646,DEN @ ATL,129,47,88,0.534,12,29.0,0.414,23,29,0.793,14.0,35.0,49.0,29,9.0,8,16,19,7.0,W
647,DEN vs. HOU,106,38,90,0.422,10,28.0,0.357,20,27,0.741,12.0,35.0,47.0,22,4.0,5,10,24,-8.0,L
648,DEN @ LAC,102,41,98,0.418,12,31.0,0.387,8,9,0.889,14.0,32.0,46.0,29,7.0,5,11,20,-9.0,L
649,DEN @ SAC,117,49,99,0.495,6,25.0,0.24,13,20,0.65,8.0,38.0,46.0,35,9.0,7,10,14,-6.0,L
650,DEN @ PHX,119,50,88,0.568,12,32.0,0.375,7,12,0.583,4.0,28.0,32.0,38,8.0,4,9,21,8.0,W
651,DEN vs. HOU,134,48,95,0.505,19,43.0,0.442,19,26,0.731,13.0,28.0,41.0,37,4.0,2,3,18,10.0,W
652,DEN @ LAC,113,44,92,0.478,10,22.0,0.455,15,28,0.536,18.0,34.0,52.0,28,8.0,6,11,22,9.0,W
653,DEN vs. SAS,132,50,89,0.562,12,28.0,0.429,20,25,0.8,11.0,34.0,45.0,38,8.0,3,19,25,12.0,W
654,DEN @ HOU,86,32,94,0.34,7,30.0,0.233,15,21,0.714,16.0,30.0,46.0,17,8.0,4,15,14,-19.0,L
655,DEN @ ORL,119,44,93,0.473,15,35.0,0.429,16,21,0.762,17.0,25.0,42.0,29,6.0,2,10,25,-5.0,L
656,DEN @ DET,107,40,87,0.46,11,28.0,0.393,16,21,0.762,11.0,32.0,43.0,30,7.0,8,14,17,4.0,W
657,DEN @ CLE,109,39,82,0.476,14,29.0,0.483,17,23,0.739,9.0,24.0,33.0,23,7.0,5,11,21,-12.0,L
658,DEN @ NOP,110,47,96,0.49,10,40.0,0.25,6,12,0.5,11.0,40.0,51.0,37,4.0,3,13,20,-5.0,L
659,DEN vs. LAC,111,39,73,0.534,8,23.0,0.348,25,32,0.781,6.0,30.0,36.0,26,4.0,2,14,19,3.0,W
660,DEN @ HOU,104,42,91,0.462,9,32.0,0.281,11,14,0.786,12.0,37.0,49.0,24,3.0,5,11,20,-3.0,L
661,DEN vs. GSW,108,41,92,0.446,11,35.0,0.314,15,22,0.682,10.0,35.0,45.0,24,7.0,4,6,20,3.0,W
662,DEN vs. NOP,134,51,95,0.537,15,39.0,0.385,17,23,0.739,11.0,34.0,45.0,37,6.0,5,9,16,18.0,W
663,DEN vs. CHI,123,42,81,0.519,16,36.0,0.444,23,30,0.767,10.0,39.0,49.0,31,10.0,4,11,18,22.0,W
664,DEN vs. DAL,125,49,93,0.527,13,30.0,0.433,14,19,0.737,19.0,32.0,51.0,33,11.0,6,17,17,11.0,W
665,DEN @ MIN,89,38,96,0.396,6,33.0,0.182,7,10,0.7,12.0,31.0,43.0,23,6.0,10,15,22,-21.0,L
666,DEN vs. UTA,110,47,84,0.56,9,28.0,0.321,7,17,0.412,7.0,36.0,43.0,32,4.0,8,12,14,8.0,W
667,DEN @ OKC,128,53,88,0.602,11,27.0,0.407,11,13,0.846,10.0,38.0,48.0,34,8.0,5,13,21,33.0,W
668,DEN @ MEM,108,41,88,0.466,14,37.0,0.378,12,18,0.667,6.0,34.0,40.0,27,11.0,10,17,18,4.0,W
669,DEN vs. LAL,119,48,91,0.527,14,34.0,0.412,9,12,0.75,9.0,33.0,42.0,29,9.0,6,11,15,12.0,W
670,DEN @ LAC,103,38,84,0.452,9,31.0,0.29,18,23,0.783,11.0,36.0,47.0,27,7.0,3,15,22,13.0,W
671,DEN @ LAC,103,37,88,0.42,10,32.0,0.313,19,24,0.792,12.0,28.0,40.0,23,13.0,2,12,18,-13.0,L
672,DEN vs. CHI,116,39,74,0.527,14,40.0,0.35,24,36,0.667,5.0,34.0,39.0,25,4.0,9,10,18,14.0,W
673,DEN @ CHI,124,47,94,0.5,20,50.0,0.4,10,13,0.769,10.0,29.0,39.0,35,14.0,10,27,22,-9.0,L
674,DEN @ PHX,115,43,91,0.473,16,43.0,0.372,13,15,0.867,8.0,29.0,37.0,32,11.0,6,13,23,8.0,W
675,DEN @ NYK,89,34,74,0.459,11,33.0,0.333,10,13,0.769,9.0,31.0,40.0,21,9.0,4,15,10,10.4,W
676,DEN vs. MIA,112,40,70,0.571,18,34.0,0.529,14,19,0.737,10.0,37.0,47.0,27,3.0,3,11,15,27.2,W
677,DEN @ UTA,91,31,78,0.397,10,43.0,0.233,19,24,0.792,6.0,28.0,34.0,17,9.0,4,11,13,-7.6,L
678,DEN vs. ATL,93,29,66,0.439,12,29.0,0.414,23,25,0.92,5.0,26.0,31.0,17,5.0,6,10,22,-6.2,L
679,DEN @ MIL,85,27,64,0.422,9,32.0,0.281,22,29,0.759,6.0,22.0,28.0,18,13.0,6,14,21,-8.4,L
680,DEN vs. MIA,94,38,84,0.452,5,28.0,0.179,13,23,0.565,11.0,46.0,57.0,21,6.0,7,14,13,5.0,W
681,DEN @ MIA,108,39,79,0.494,14,28.0,0.5,16,21,0.762,5.0,29.0,34.0,26,11.0,7,6,18,13.0,W
682,DEN @ MIA,109,41,80,0.513,5,18.0,0.278,22,27,0.815,13.0,45.0,58.0,28,3.0,5,13,18,15.0,W
683,DEN vs. MIA,108,39,75,0.52,11,28.0,0.393,19,22,0.864,9.0,29.0,38.0,23,7.0,2,13,21,-3.0,L
684,DEN vs. MIA,104,40,79,0.506,8,27.0,0.296,16,20,0.8,6.0,39.0,45.0,29,4.0,4,10,8,11.0,W
685,DEN @ LAL,113,41,85,0.482,12,33.0,0.364,19,22,0.864,11.0,29.0,40.0,25,3.0,9,8,20,2.0,W
686,DEN @ LAL,119,44,88,0.5,17,41.0,0.415,14,19,0.737,5.0,34.0,39.0,30,7.0,1,5,19,11.0,W
687,DEN vs. LAL,108,39,89,0.438,14,38.0,0.368,16,18,0.889,11.0,38.0,49.0,27,8.0,2,15,18,5.0,W
688,DEN vs. LAL,132,50,91,0.549,15,32.0,0.469,17,22,0.773,15.0,32.0,47.0,29,5.0,7,11,21,6.0,W
689,DEN @ PHX,125,44,82,0.537,8,22.0,0.364,29,31,0.935,7.0,34.0,41.0,24,10.0,3,10,22,25.0,W
690,DEN vs. PHX,118,42,85,0.494,13,27.0,0.481,21,28,0.75,10.0,40.0,50.0,32,6.0,6,10,17,16.0,W
691,DEN @ PHX,124,50,89,0.562,7,22.0,0.318,17,23,0.739,10.0,22.0,32.0,28,6.0,2,8,19,-5.0,L
692,DEN @ PHX,114,43,97,0.443,10,30.0,0.333,18,21,0.857,16.0,35.0,51.0,27,6.0,5,12,21,-7.0,L
693,DEN vs. PHX,97,36,76,0.474,7,27.0,0.259,18,21,0.857,5.0,36.0,41.0,19,5.0,6,10,16,10.0,W
694,DEN vs. PHX,125,48,101,0.475,16,37.0,0.432,13,15,0.867,16.0,33.0,49.0,22,14.0,1,9,19,18.0,W
695,DEN vs. MIN,112,34,85,0.4,12,34.0,0.353,32,36,0.889,16.0,31.0,47.0,22,10.0,3,12,21,3.0,W
696,DEN @ MIN,108,42,95,0.442,12,35.0,0.343,12,18,0.667,10.0,37.0,47.0,21,6.0,5,11,23,-6.0,L
697,DEN @ MIN,120,48,84,0.571,13,32.0,0.406,11,13,0.846,5.0,35.0,40.0,32,8.0,4,14,26,9.0,W
698,DEN vs. MIN,122,46,85,0.541,10,22.0,0.455,20,25,0.8,9.0,27.0,36.0,26,6.0,1,10,25,9.0,W
699,DEN vs. MIN,109,41,90,0.456,16,39.0,0.41,11,17,0.647,11.0,43.0,54.0,24,6.0,4,10,20,29.0,W
700,GSW vs. IND,111,43,106,0.406,14,48.0,0.292,11,16,0.688,24.0,40.0,64.0,24,6.0,6,14,15,-12.0,L
701,GSW vs. MEM,137,58,100,0.58,19,39.0,0.487,2,6,0.333,13.0,35.0,48.0,43,6.0,5,6,17,21.0,W
702,GSW vs. NYK,112,42,88,0.477,14,36.0,0.389,14,18,0.778,12.0,27.0,39.0,29,7.0,5,13,16,-7.0,L
703,GSW @ LAL,128,51,97,0.526,14,34.0,0.412,12,15,0.8,14.0,31.0,45.0,38,3.0,4,7,19,7.0,W
704,GSW @ DAL,99,37,92,0.402,9,28.0,0.321,16,19,0.842,15.0,27.0,42.0,19,9.0,3,15,20,-10.0,L
705,GSW @ SAS,112,46,93,0.495,12,27.0,0.444,8,12,0.667,10.0,35.0,45.0,28,7.0,4,13,19,10.0,W
706,GSW vs. SAS,113,41,88,0.466,10,30.0,0.333,21,29,0.724,9.0,30.0,39.0,26,9.0,7,12,24,-13.0,L
707,GSW vs. CHI,122,44,97,0.454,11,42.0,0.262,23,28,0.821,13.0,35.0,48.0,31,8.0,2,11,22,-3.0,L
708,GSW vs. MIL,125,51,91,0.56,19,39.0,0.487,4,7,0.571,8.0,42.0,50.0,37,10.0,13,14,13,35.0,W
709,GSW @ BOS,88,36,92,0.391,7,41.0,0.171,9,13,0.692,12.0,34.0,46.0,24,2.0,3,17,13,-52.0,L
710,GSW @ TOR,120,44,98,0.449,18,44.0,0.409,14,18,0.778,15.0,41.0,56.0,26,10.0,5,14,14,15.0,W
711,GSW @ NYK,110,44,98,0.449,14,44.0,0.318,8,16,0.5,16.0,37.0,53.0,26,8.0,5,11,19,11.0,W
712,GSW @ WAS,123,47,94,0.5,21,46.0,0.457,8,11,0.727,9.0,35.0,44.0,39,12.0,6,18,11,11.0,W
713,GSW vs. DEN,103,35,81,0.432,11,34.0,0.324,22,29,0.759,11.0,31.0,42.0,27,5.0,3,17,18,-16.0,L
714,GSW vs. CHA,97,38,89,0.427,13,42.0,0.31,8,10,0.8,13.0,40.0,53.0,28,7.0,7,21,15,13.0,W
715,GSW vs. LAL,128,50,107,0.467,16,41.0,0.39,12,14,0.857,15.0,33.0,48.0,32,6.0,4,9,19,18.0,W
716,GSW @ UTA,140,49,92,0.533,20,42.0,0.476,22,28,0.786,13.0,28.0,41.0,42,8.0,6,13,19,3.0,W
717,GSW vs. LAC,125,47,103,0.456,18,47.0,0.383,13,18,0.722,13.0,34.0,47.0,34,7.0,2,9,25,-5.0,L
718,GSW @ UTA,129,48,100,0.48,20,44.0,0.455,13,17,0.765,12.0,39.0,51.0,31,8.0,4,13,13,22.0,W
719,GSW vs. PHX,113,45,101,0.446,17,41.0,0.415,6,11,0.545,13.0,39.0,52.0,33,6.0,2,13,20,1.0,W
720,GSW @ IND,131,52,93,0.559,17,32.0,0.531,10,13,0.769,10.0,39.0,49.0,33,7.0,7,17,22,22.0,W
721,GSW @ PHI,127,47,94,0.5,16,38.0,0.421,17,22,0.773,12.0,40.0,52.0,30,7.0,8,12,21,23.0,W
722,GSW @ BKN,109,43,93,0.462,4,22.0,0.182,19,23,0.826,16.0,44.0,60.0,24,7.0,8,13,17,11.0,W
723,GSW @ ATL,134,50,112,0.446,18,56.0,0.321,16,20,0.8,14.0,43.0,57.0,26,4.0,7,14,23,-7.0,L
724,GSW @ MEM,121,46,83,0.554,11,29.0,0.379,18,22,0.818,6.0,40.0,46.0,32,7.0,8,14,17,20.0,W
725,GSW vs. PHI,119,44,79,0.557,14,32.0,0.438,17,19,0.895,8.0,34.0,42.0,32,6.0,6,16,20,12.0,W
726,GSW vs. LAL,144,55,119,0.462,23,58.0,0.397,11,16,0.688,11.0,39.0,50.0,37,11.0,3,17,34,-1.0,L
727,GSW vs. SAC,133,48,86,0.558,19,37.0,0.514,18,23,0.783,6.0,27.0,33.0,30,7.0,3,13,19,-1.0,L
728,GSW vs. ATL,134,51,91,0.56,16,33.0,0.485,16,22,0.727,11.0,38.0,49.0,26,6.0,9,10,18,22.0,W
729,GSW @ MEM,107,44,90,0.489,10,31.0,0.323,9,10,0.9,7.0,38.0,45.0,28,4.0,6,19,25,-9.0,L
730,GSW @ MIL,118,47,98,0.48,15,36.0,0.417,9,14,0.643,12.0,29.0,41.0,23,5.0,4,7,16,-11.0,L
731,GSW @ CHI,140,49,94,0.521,20,47.0,0.426,22,30,0.733,13.0,31.0,44.0,39,7.0,4,3,16,9.0,W
732,GSW vs. NOP,105,39,89,0.438,12,39.0,0.308,15,18,0.833,14.0,29.0,43.0,24,4.0,4,17,19,-36.0,L
733,GSW vs. TOR,118,45,100,0.45,14,46.0,0.304,14,15,0.933,15.0,28.0,43.0,30,5.0,4,10,11,-15.0,L
734,GSW vs. DET,113,38,82,0.463,16,38.0,0.421,21,25,0.84,7.0,38.0,45.0,24,3.0,5,16,18,4.0,W
735,GSW vs. DEN,127,49,90,0.544,15,36.0,0.417,14,16,0.875,9.0,24.0,33.0,35,4.0,3,8,20,-3.0,L
736,GSW vs. ORL,121,42,78,0.538,13,35.0,0.371,24,37,0.649,9.0,27.0,36.0,23,9.0,6,12,19,6.0,W
737,GSW vs. DAL,122,47,103,0.456,19,48.0,0.396,9,13,0.692,16.0,31.0,47.0,32,8.0,3,10,21,-10.0,L
738,GSW vs. MIA,102,37,88,0.42,8,33.0,0.242,20,25,0.8,12.0,31.0,43.0,27,4.0,7,13,19,-12.0,L
739,GSW @ DEN,114,40,87,0.46,14,40.0,0.35,20,23,0.87,9.0,30.0,39.0,23,7.0,3,13,23,-6.0,L
740,GSW vs. POR,126,48,83,0.578,10,33.0,0.303,20,24,0.833,13.0,36.0,49.0,38,8.0,2,16,14,20.0,W
